t_sub_t,t_sub_d1,t_sub_d2,relation_t_to_d,p_l_sub_t,p_l_sub_d1,p_l_sub_d2,p_s_sub,p_s_basic,p_s_super
1,0.01,0.01,100,0.56,0.22,0.22,0.82,0.16,0.01
1,0.2,0.2,5,0.51,0.24,0.24,0.66,0.31,0.02
1,0.4,0.4,2.5,0.47,0.27,0.27,0.41,0.55,0.04
1,0.6,0.6,1.66,0.42,0.29,0.29,0.19,0.76,0.05
1,0.8,0.8,1.25,0.38,0.31,0.31,0.06,0.87,0.06
1,1,1,1,0.33,0.33,0.33,0.02,0.92,0.07
0.8,0.01,0.01,80,0.51,0.24,0.24,0.65,0.32,0.02
0.8,0.2,0.2,4,0.47,0.27,0.27,0.41,0.55,0.04
0.8,0.4,0.4,2,0.42,0.29,0.29,0.19,0.76,0.05
0.8,0.6,0.6,1.33,0.38,0.31,0.31,0.06,0.87,0.06
0.8,0.8,0.8,1,0.33,0.33,0.33,0.02,0.92,0.07
0.8,1,1,0.8,0.29,0.35,0.35,0,0.93,0.07
0.6,0.01,0.01,60,0.47,0.27,0.27,0.4,0.56,0.04
0.6,0.2,0.2,3,0.42,0.29,0.29,0.19,0.76,0.05
0.6,0.4,0.4,1.5,0.38,0.31,0.31,0.06,0.87,0.06
0.6,0.6,0.6,1,0.33,0.33,0.33,0.02,0.92,0.07
0.6,0.8,0.8,0.75,0.29,0.35,0.35,0,0.93,0.07
0.6,1,1,0.6,0.26,0.37,0.37,0,0.93,0.07
0.4,0.01,0.01,40,0.42,0.29,0.29,0.18,0.77,0.06
0.4,0.2,0.2,2,0.38,0.31,0.31,0.06,0.87,0.06
0.4,0.4,0.4,1,0.33,0.33,0.33,0.02,0.92,0.07
0.4,0.6,0.6,0.66,0.29,0.35,0.35,0,0.93,0.07
0.4,0.8,0.8,0.5,0.26,0.37,0.37,0,0.93,0.07
0.4,1,1,0.4,0.22,0.39,0.39,0,0.93,0.07
0.2,0.01,0.01,20,0.37,0.31,0.31,0.06,0.88,0.06
0.2,0.2,0.2,1,0.33,0.33,0.33,0.02,0.92,0.07
0.2,0.4,0.4,0.5,0.29,0.35,0.35,0,0.93,0.07
0.2,0.6,0.6,0.33,0.26,0.37,0.37,0,0.93,0.07
0.2,0.8,0.8,0.25,0.22,0.39,0.39,0,0.93,0.07
0.2,1,1,0.2,0.19,0.4,0.4,0,0.93,0.07
0.01,0.01,0.01,1,0.33,0.33,0.33,0.02,0.92,0.07
0.01,0.2,0.2,0.05,0.29,0.35,0.35,0,0.93,0.07
0.01,0.4,0.4,0.025,0.26,0.37,0.37,0,0.93,0.07
0.01,0.6,0.6,0.017,0.22,0.39,0.39,0,0.93,0.07
0.01,0.8,0.8,0.013,0.19,0.4,0.4,0,0.93,0.07
0.01,1,1,0.01,0.16,0.42,0.42,0,0.93,0.07
